,event_code
0,2018mawor
1,2018misou
2,2018mitvc
3,2018qcmo
4,2018miket
5,2018scmb
6,2018migib
7,2018orore
8,2018ohmv
9,2018mxmo
10,2018ndgf
11,2018utwv
12,2018gagai
13,2018onosh
14,2018txda
15,2018nyut
16,2018onbar
17,2018vahay
18,2018wamou
19,2018nhgrs
20,2018isde1
21,2018isde2
22,2018gadal
23,2018micen
24,2018mosl
25,2018gush
26,2018mndu2
27,2018mndu
28,2018mike2
29,2018miwat
30,2018orwil
31,2018misjo
32,2018txlu
33,2018flor
34,2018azfl
35,2018casd
36,2018arli
37,2018mokc2
38,2018njfla
39,2018inmis
40,2018mabri
41,2018vagdc
42,2018vagle
43,2018ncgre
44,2018ctwat
45,2018pawch
46,2018tuis
47,2018ausc
48,2018isde3
49,2018isde4
50,2018bcvi
51,2018migay
52,2018miesc
53,2018mokc
54,2018gaalb
55,2018capo
56,2018nyro
57,2018nytr
58,2018ilpe
59,2018txho
60,2018mimil
61,2018onto1
62,2018wayak
63,2018milin
64,2018alhu
65,2018migul
66,2018ausp
67,2018marea
68,2018vapor
69,2018ncpem
70,2018mdoxo
71,2018ctsct
72,2018paphi
73,2018njbri
74,2018casf
75,2018waahs
76,2018shmi
77,2018paca
78,2018onwat
79,2018nvlv
80,2018miwmi
81,2018waspo
82,2018mxto
83,2018tnkn
84,2018mimid
85,2018wimi
86,2018iacf
87,2018lake
88,2018cair
89,2018cada
90,2018melew
91,2018gacol
92,2018mibel
93,2018milan
94,2018code
95,2018hiho
96,2018ncash
97,2018rismi
98,2018njtab
99,2018inpla
100,2018njski
101,2018mdedg
102,2018onnyo
103,2018vabla
104,2018wasno
105,2018nysu
106,2018iscmp
107,2018pahat
108,2018ohcl
109,2018flwp
110,2018idbo
111,2018okok
112,2018inwla
113,2018gadul
114,2018orlak
115,2018onwin
116,2018txel
117,2018onnob
118,2018mishe
119,2018miliv
120,2018mitry
121,2018miken
122,2018waamv
123,2018mnmi
124,2018nhdur
125,2018mnmi2
126,2018casj
127,2018cave
128,2018ncwin
129,2018chcmp
130,2018txsa
131,2018txpa
132,2018caav
133,2018pncmp
134,2018azpx
135,2018gacmp
136,2018milsu
137,2018abca
138,2018wila
139,2018milak
140,2018mimar
141,2018mifor
142,2018ilch
143,2018mrcmp
144,2018mialp
145,2018onlon
146,2018nccmp
147,2018mabos
148,2018cthar
149,2018cafr
150,2018nyny
151,2018onham
152,2018nyli
153,2018micmp1
154,2018micmp3
155,2018micmp
156,2018micmp4
157,2018micmp2
158,2018necmp
159,2018oncmp1
160,2018oncmp2
161,2018nyli2
162,2018oncmp
163,2018incmp
164,2018tur
165,2018hop
166,2018cmptx
167,2018gal
168,2018roe
169,2018carv
170,2018new
171,2018arc
172,2018cmpmi
173,2018cars
174,2018cur
175,2018tes
176,2018dar
177,2018dal
